teamID,yearID,R,AB,H,2B,3B,HR,BB,HBP,SF,SH,SB,CS
ANA,1997,829,5628,1531,279,25,161,617,45,57,40,126,72
ANA,1998,787,5630,1530,314,27,147,510,48,41,49,93,45
ANA,1999,711,5494,1404,248,22,158,511,43,42,41,71,45
ANA,2000,864,5628,1574,309,34,236,608,47,43,47,93,52
ANA,2001,691,5551,1447,275,26,158,494,77,53,46,116,52
ANA,2002,851,5678,1603,333,32,152,462,74,64,49,117,51
ANA,2003,736,5487,1473,276,33,150,476,56,50,50,129,61
ANA,2004,836,5675,1603,272,37,162,450,73,41,56,143,46
ARI,1998,665,5491,1353,235,46,159,489,64,27,45,73,38
ARI,1999,908,5658,1566,289,46,216,588,48,60,61,137,39
ARI,2000,792,5527,1466,282,44,179,535,59,58,61,97,44
ARI,2001,818,5595,1494,284,35,208,587,57,36,71,71,38
ARI,2002,819,5508,1471,283,41,165,643,50,53,62,92,46
ARI,2003,717,5570,1467,303,47,152,531,45,52,63,76,38
ARI,2004,615,5544,1401,295,38,135,441,35,37,56,53,32
ARI,2005,696,5550,1419,291,27,191,606,55,45,71,67,26
ARI,2006,773,5645,1506,331,38,160,504,67,53,61,76,30
ARI,2007,712,5398,1350,286,40,171,532,57,58,55,109,24
ARI,2008,720,5409,1355,318,47,159,587,49,43,68,58,23
ARI,2009,720,5565,1408,307,45,173,571,37,41,54,102,40
ARI,2010,713,5473,1366,301,34,180,589,39,41,41,86,41
ARI,2011,731,5421,1357,293,37,172,531,61,33,50,133,55
ATL,1966,782,5617,1476,220,32,207,512,40,45,72,59,47
ATL,1967,631,5450,1307,191,29,158,512,33,36,57,55,45
ATL,1968,514,5552,1399,179,31,80,414,36,30,86,83,44
ATL,1969,691,5460,1411,195,22,141,485,32,34,87,59,48
ATL,1970,736,5546,1495,215,24,160,522,38,42,54,58,34
ATL,1971,643,5575,1434,192,30,153,434,28,44,91,57,46
ATL,1972,628,5278,1363,186,17,144,532,35,38,55,47,35
ATL,1973,799,5631,1497,219,34,206,608,34,46,65,84,40
ATL,1974,661,5533,1375,202,37,120,571,24,42,109,72,44
ATL,1975,583,5424,1323,179,28,107,543,18,35,72,55,38
ATL,1976,620,5345,1309,170,30,82,589,19,47,107,74,61
ATL,1977,678,5534,1404,218,20,139,537,17,34,83,82,53
ATL,1978,600,5381,1313,191,39,123,550,27,47,61,90,65
